"","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU.name"
"OTU_1","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Bacteroidaceae","G_Bacteroides","G_Bacteroides","OTU_1"
"OTU_10","K_Bacteria","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","OTU_10"
"OTU_100","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","O_Bacteroidales","O_Bacteroidales","O_Bacteroidales","OTU_100"
"OTU_1000","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1000"
"OTU_1003","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1003"
"OTU_1004","K_Bacteria","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","OTU_1004"
"OTU_1005","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1005"
"OTU_1007","K_Bacteria","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","OTU_1007"
"OTU_1009","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1009"
"OTU_101","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","F_Lachnospiraceae","F_Lachnospiraceae","OTU_101"
"OTU_1010","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1010"
"OTU_1011","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","O_Clostridiales","O_Clostridiales","O_Clostridiales","OTU_1011"
"OTU_1012","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1012"
"OTU_1013","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1013"
"OTU_1014","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","K_Bacteria","OTU_1014"
"OTU_1015","K_Bacteria","P_Firmicutes","C_Clostridia","O_Clostridiales","F_Lachnospiraceae","F_Lachnospiraceae","F_Lachnospiraceae","OTU_1015"
"OTU_1016","K_Bacteria","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","P_Firmicutes","OTU_1016"
"OTU_1017","K_Bacteria","P_Bacteroidetes","C_Bacteroidia","O_Bacteroidales","F_Prevotellaceae","G_Prevotella","S_nigrescens","OTU_1017"
